タイトル,内容
ファーストパーソン・シューティングゲーム,1991年、id Softwareが自社の迷路ゲームであった『Hovertank3D』（1991年）の技術を発展させた『Catacomb3D』（1991年）は現在のFPSと変わらない仕組を確立しており、この作品が現在のFPSの原型ともいえる[要出典]。1991年1月、ゲームボーイに移植された『MIDI Maze』は『Faceball 2000』という名称で発売され、史上初の携帯型ゲーム機のFPSとなった[12]。
ファーストパーソン・シューティングゲーム,1992年、id Softwareが開発した『Wolfenstein 3D』がMS-DOSで発売された。この作品は走り回って銃を撃つ「ラン＆ガン」のスタイルを核としており[13][14]、現代的なFPSを確立したとも言われる[15]。さらに1993年に同社が発表した『DOOM』が世界的にヒットする。当時はFPSジャンルの呼称はなく、「DOOM系」（英語: Doom clone）などと呼ばれていた[15][16][17]。
ファーストパーソン・シューティングゲーム,この頃のFPSは主にパソコンの性能の限界のために、マップが水平か垂直な面のみから構成されたり、事前の処理によるバイナリ空間分割を利用しているためマップの大きな変形に制限があった。また敵などの物体はスプライトを用いたビルボードと呼ばれる擬似3D手法で描かれ、視点と視線は立ち位置の正面水平方向に固定されて上下方向の概念が無いなど、制限も多かった。
ファーストパーソン・シューティングゲーム,1994年2月、スーパーファミコン版『Wolfenstein 3D』が日本向けに発売。史上初の家庭用ゲーム機のFPSとなった[18]。
ファーストパーソン・シューティングゲーム,また、1995年には『Wizardry』で有名なDavid W. BradleyがRPGとFPSの融合を目指し、ストーリー性を重視した『Cybermage』を発表するなど、様々なジャンルで活躍したゲーム開発者が多数FPS開発に参加し、またその技術をRPGなどに転用するなど技術革新が進んだ。またあまりのブームで粗製濫造され、PC/AT互換機用に大量のFPSが製作された。
ファーストパーソン・シューティングゲーム,一方Macプラットフォームでは、Macintoshの利用者のマーケットがPC/AT互換機ユーザーと異なる点、またソフトウェア開発メーカー自体が少ないなどの問題から作品数は小数にとどまった。しかし、Bungie Softwareが1993年に『Pathways Into Darkness』、1994年には『Marathon』シリーズを発表。このゲームは最初にマウスで上下左右自由に視点を変えることができた。玉石混淆のPC/AT互換機と違い、きわめて優良な品質のFPSが登場したため、Macユーザーの間でもFPSの認知度が広まった。だが市場が小さいMac市場ではFPSはその後もほとんど出なかった。しかし、Bungie Softwareの『Marathon』シリーズはPC/AT互換機で多数登場したFPSと比べても非常に優れており、世界的に知られることとなった。
ファーストパーソン・シューティングゲーム,1996年には3D Realms社の『Duke Nukem 3D』が登場。『Duke Nukem』は殺伐とした殺傷ゲームであったFPSにお笑いの要素を盛り込み、FPSの幅を広げた。『Duke Nukem』のクローンも『Blood』のようなホラーから『レッドネックランページ』のようなギャグFPSなど多岐にわたった。
ファーストパーソン・シューティングゲーム,「完全3D」のFPSが初めて作られたのは、1996年にid Softwareから発売された『Quake』によってだとされる。ただし『Quake』でも一部武器には上下方向のみ自動照準が作動するようになっており、これは当時マウスによる照準の操作が一般的でなく、上下方向の振り向きもキーボードで行っていた人への救済処置である。1997年発売の『Quake2』では敵キャラクターがある程度防御もするようになり、そのアイデアは画期的だったもののまだ実際の動作は単純であった。
ファーストパーソン・シューティングゲーム,1997年8月、ジェームズ・ボンドシリーズを原作とした『ゴールデンアイ 007』が登場。これは任天堂よりNINTENDO 64向けに発売され、多くの新規プレイヤーを獲得して家庭用ゲーム機におけるFPSの火付け役となった[19][20]。また、最大4人での画面分割によるマルチプレイヤーが可能であった[19][21]。
ファーストパーソン・シューティングゲーム,1998年4月にEpic Games社よりWindowsで発売された『Unreal』は、Unreal Engineにより美しいグラフィックを作りだし、さらにまるで人間が操作しているかのような知的な敵AIは当時としては革新的で、その後のFPSの発展に影響を及ぼした。さらにリアリティを徹底的に追及されたこの作品は世界中で絶賛された。
ファーストパーソン・シューティングゲーム,1998年8月、トム・クランシーの小説を原作とするFPSが登場[22]。
ファーストパーソン・シューティングゲーム,1998年末に発売されたValve Software社の『Half-Life』は、敵AIの素晴らしさやゲーム性の高さ、しっかりとしたストーリー性と緊迫感のあるゲームバランスから高い評価を受けた。このように『Quake』『Unreal』『Half-Life』の三本は現代のFPSの原型となった作品とも言われる[23]。
ファーストパーソン・シューティングゲーム,他にもFPSの在り方を変えた存在としてシングルプレーをマルチプレーと同様の物とし、シングルプレーよりマルチプレーをメインとしながらヒット作となった『Unreal Tournament』、『Quake III Arena』（共に1999年発売）や、元はHalf-lifeのMODで有りながらゲームシステムを完全に改変した『カウンターストライク』なども挙げられる。さらに、『Quake III Arena』はオンライン専用のFPSとして初めて登場した[24]。
ファーストパーソン・シューティングゲーム,1999年10月、映画監督のスティーヴン・スピルバーグがプロデュースした『メダル オブ オナー』が初代PSで登場[25]。日本未発売。
ファーストパーソン・シューティングゲーム,FPSだけに限らず、3DCGを用いたPCゲームはより美しい映像であるほど評価が高く、結果としてその映像表現を実現するため、実行するコンピュータで非常に高い性能が要求される。ことにFPSではプレイの実用性能の上でも遠距離にごく小さく表示される標的の視認識別が要求されるため、高精細のグラフィックを非常に広い範囲で描画する処理が必要になる。グラフィックの精細さを求めるあまり、最近ではゲームの発売時に存在しうる、高性能のPCをもってしても、グラフィックの品質を「最高」の設定にして遊ぶのは困難な作品まであり、平均的な性能のPC（ビジネス用途のPCなど）では、グラフィックの品質を「最低」の設定にしてもフレームレートが低く、まともに動作しない作品もある。
ファーストパーソン・シューティングゲーム,最初の「当時の最高スペックのPCでまともに動作しないゲーム」は初代『Unreal』（1998年）と言われている。これは当時のEpicのスタッフ側が最先端の技術を盛り込むことを最重要視していたためで、一般消費者の入手しうる高スペックのPCでも動作が重いゲームであった。
ファーストパーソン・シューティングゲーム,ゲームの質を消費者の基準に合わせて落とすのではなく、ゲームの質に消費者がコストをかけるというメーカーの姿勢は当時も今も変わらない。ただし『Unreal』はSavage4やTNT2といった当時のDirect3D対応ビデオカードでは非常に重かったものの、Glide対応の3Dfx社のVoodoo2かVoodoo3であれば最高画質でも軽く快適に動作するなど、決して消費者を置き去りにしていたわけではなく、ゲーマーの常識的判断でビデオカードをチョイスしていればプレーは問題ないよう考慮されていた。前年発売の『QuakeII』も相当重いゲームであったが、こちらもOpenGL、Direct3D、GlideのAPIが選べるようになっており、ビデオカードの選択次第で重くも軽くもなるように選択の余地が与えられていた。こういった高性能を要求するFPSは雑誌などで頻繁にベンチマークソフトとして使われており、初期の頃から高いコンピューターシステムを必要としていた事が窺える。
ファーストパーソン・シューティングゲーム,また、これらはゲームの発売後により高性能なハードウェアが開発・発売されることを意識して開発され、一種のゲームの延命措置や話題作りの一つとして意図的に行われている物も中には存在する。
ファーストパーソン・シューティングゲーム,家庭用ゲーム機では、基本的に照準操作はアナログスティックやジョイスティックなどを使って行う。[要出典]
ファーストパーソン・シューティングゲーム,家庭用ゲーム機版では、「エイムアシスト」や「オートエイム」といった機能を取り入れているものが多くある。エイムアシストは、攻撃できる対象が照準の付近を通過すればプレーヤーがそれを狙おうとしているのだ、とプログラムが判断する機能である。オートエイムは特定のキーを入力するたびに付近の敵に照準を自動で付けるシステムを指す。これらの機能は、現在では大半のゲームで、「設定」画面で　ON / OFFにする事ができる[要出典]。
ファーストパーソン・シューティングゲーム,1994年に発売され、家庭用ゲーム機における最初のFPSである『Wolfenstein 3D』はスーパーファミコンマウスに対応していた[64]。1996年に発売されたNINTENDO 64のコントローラは、アナログスティックが1つ搭載され、名作『ゴールデンアイ 007』ではコントローラを用いた複数の操作方法が提供された[20][21]。1997年には、初代PlayStationでアナログスティックを2つ搭載したアナログコントローラおよびDUALSHOCKが登場し、2001年に発売された初代Xboxの名作『Halo: Combat Evolved』では、コントローラの左のスティックで移動して右のスティックで照準を動かす操作方法が登場した[30][31]。2005年頃までに、この操作方法はコントローラの定番となった[65][66][67]。
ファーストパーソン・シューティングゲーム,NINTENDO 64で振動パックが発売されたことにより、『ゴールデンアイ 007』は振動機能に対応した[21]。2006年には、PlayStation 3でコントローラにモーションセンサーを搭載したSIXAXISが登場し、2009年に発売された『KILLZONE 2』ではギミックの操作に使用された[68][注釈 2]。後に一部の作品でコントローラを傾ける操作と右のスティックを併用して照準を動かすことが可能となった[69][70]。2015年には、Xbox Oneの純正品でスティックキャップの交換やトリガーの深さ調整、背面ボタンを備えた「Xbox Elite ワイヤレスコントローラー」が登場した[71]。
ファーストパーソン・シューティングゲーム,FPSにはネットワークを介した対戦モードが搭載されていることが多い。一回のゲームプレイ時間が他のゲームジャンルと比べて20分〜1時間程度（ゲームのルールによって異なる）と比較的短い[72]上に、ネットワークRPGと違ってレベルを上げたりアイテムを集めるといったことをしないことが多い。
ファーストパーソン・シューティングゲーム,一般のゲームではネットに接続しないで1人、もしくは同一ハードを利用した多人数プレイを「オフラインプレイ」、ネット接続での多人数プレイを「オンラインプレイ」というのが一般的である。一方、PCを発祥とするFPSでは、1台のPCで2人以上のプレイができないことや、LANによるオフラインかオンラインかよく分からない状況が存在すること、また本格的にGUIからの多人数プレイをサポートした『Quake』での表記法より、伝統的に1人でストーリーモードをプレイすることを「シングルプレイ」、ネット接続やLANでの多人数でプレイする事を「マルチプレイ」と呼称する。ゲームによってはシングルとマルチで全く別のチューニングを施されているため、シングルとマルチは単純に同じゲームではない物も多い。
ファーストパーソン・シューティングゲーム,いわゆるボードゲームやカードゲームとは違い、運による要素がせいぜい「最初に登場する位置」「復活時に登場する（リスポーン）位置」「アイテムの出現タイミング」程度しかないものが多く、プレイヤーの腕前が顕著に出るジャンルである。2007年現在、世界で最も遊ばれているネットワークゲームのジャンルの一つといわれている。
ファーストパーソン・シューティングゲーム,最近ではネットワーク対戦モードが搭載されたFPSのほうが多く、シングルプレイヤーに特化したFPSは縮小傾向にある。
ファーストパーソン・シューティングゲーム,FPSの対戦は腕前が顕著に出すぎてしまうという点で、新規プレイヤーが古参プレイヤーに対抗できずにやめてしまう人も多い。これは、初心者に対する救済措置が少ない作品がほとんどであることも影響しており、強くなるには少しずつでも習熟するしか方法はない。逆にある程度複数のFPSを経験した者は、別の作品の対戦に入り込んでも割と良い戦績を残せる事も珍しくない。
ファーストパーソン・シューティングゲーム,人気のゲームであれば日本国内に置かれているサーバーが多数存在し、サーバー間の距離による応答遅延はさほど感じないプレーが出来るが、国内で正式に発売されていなかったり、マイナーなゲーム、さらにはネットコードがLANに最適化されすぎ、応答遅延やパケットロスに弱いゲームであると、オンライン上ではまともにプレイできないゲームも存在する。また、言葉の壁にぶつかるケースもある。
ファーストパーソン・シューティングゲーム,PCゲームでは細やかな映像オプションが搭載されているため、よほど低性能のPCで高世代のゲームをプレイしようとしない限りはマシンスペックの差異はそこまで極端に発生しないようになっている。そのため、余計に腕前や契約している回線とプロバイダに勝敗が左右されてしまう傾向が強い。クライアントマシンとサーバ間のネットワークのラウンドトリップタイム（以下RTT。使用するユーティリティpingから、若年層のFPSゲーマを中心に、RTTの値を指して俗にping値と呼ばれる）が、決定的な差となる場合が多い。
ファーストパーソン・シューティングゲーム,たとえば日本国内のサーバ・日本国内のプレイヤ同士の場合で、最短と最長の差が50ミリ秒程度になることがある。RTTの短い（俗にpingが低い）環境のプレイヤはRTTの長い（pingが高い）環境のプレイヤの50ミリ秒分の未来を見ていることになり、突き詰めた勝負ではそのコンマ数秒で勝ち負けが決まってしまうこともある。そのため、拮抗した実力を持つプレイヤー同士のプレーになるとネットワーク環境が優れている、もしくは有利な地域から接続しているプレイヤーのほうが有利に働いてしまう傾向にある点は否めない。
ファーストパーソン・シューティングゲーム,この接続環境によるタイムラグを比較的意識させないゲームプログラムの組み方を行っている作品も多く見られ、例えば旧来のゲームでは「実際に敵が見えている位置よりも未来を予測した位置に銃弾を発砲する」必要がある作品も珍しくなかったが、最近では「自分が見ている敵に実際に弾丸が当たっていれば相手の実際の位置に関係なくダメージが通る」というシステムを取り入れている作品も珍しくない。しかし後者のシステムを取り入れたとしても通信ラグは完全に緩和されるわけではなく、例えば自身は完全に壁の裏などに逃げ込んだつもりでも、敵からはまだ壁に向かって走っているように姿が映るため、その状態を撃たれてしまったり、ほぼ同時に撃ち合ったのに自分だけが一方的にダメージを受けて負けてしまうという矛盾した問題が発生する事もある。
ファーストパーソン・シューティングゲーム,ゲームシステムを無理やり改変して、ダメージを受けない無敵チート・壁を突き抜ける弾丸（壁貫通チート）・透視能力（ウォールハック）・通常では不可能な高さの跳躍能力や移動速度を不正に可能にするチート(高速化チート)・敵に自動で照準を合わせたり・発射された弾丸が敵を追尾するチート（オートエイム、ホーミングチート、AIM BOT）・ゲームパッドでしか得られないエイムアシストをマウス操作で有効化するコンバーター・その他不正にプログラムを改変し不正行為を行うユーザーなど、ゲームバランスに大きな悪影響を及ぼすものが多く、問題視されている。
ファーストパーソン・シューティングゲーム,そのためほとんどのゲームがPunkBusterやGameGuardに代表されるアンチチートソフトを導入しているが、代替アカウントや無関係のプレイヤーから乗っ取ったアカウント使用していることも多く、いたちごっこのような状態となっている。
ファーストパーソン・シューティングゲーム,近年でも、SNS間でのチートプログラム販売や導入代行などが後を絶たず、根本的な解決には至っていない。
ファーストパーソン・シューティングゲーム,一方、ゲームサーバーによってはそのようなありえないゲームバランスを最初から導入し、その混沌とした様をサーバーに接続した全員、もしくは限られた数人で楽しむプレイスタイルも存在する。
ファーストパーソン・シューティングゲーム,ちなみにゲームサーバーによって加えられたそのような改造は、基本的にはゲームクライアントに不正な改変が加えられるわけではなく、接続したそのサーバーだけに発生する仕組みのものがほとんどである。悪意をもって開設された物でない限りは、ログアウトして他の普通のサーバーに接続すれば、再インストールなどは不要で通常の状態に元に戻るのが大半である。
ファーストパーソン・シューティングゲーム,オンラインゲームのFPSの中で、特に多人数が同時に仮想空間を共有するものをMMOFPSと呼ぶ。通常のFPSのネットワーク対戦よりもさらに多数のプレイヤー（時に数百人〜数千人規模）が恒常的に展開される仮想空間にいつでも参加してプレイできるタイプのゲームである。これはMMO（Massively Multiplayer Online、多人数同時参加型オンライン）と呼ばれるサーバー通信システムを取り入れたFPSである。
ファーストパーソン・シューティングゲーム,ただしMMOFPSは遅延が発生しがちなところが致命的な問題点である。MMO方式は、通常のFPSの少人数によるネットワーク対戦よりもさらに多数のプレイヤー（時に数百人〜数千人規模）が恒常的に接続しサーバはそれだけのプレーヤのデータを同時処理しなければならないので、処理遅延が頻発する。MMORPGと違いFPSでは高速で弾丸が飛び交うため、ほんの0.5～2秒程度の遅延でもゲームとしては致命的となってしまう。現在は10年以上に渡りサービスを提供中の『Planetside2』が存在しているが、他のものはほぼ終了しており、新たなMMOFPSを制作する企業もいない状況である。
ファーストパーソン・シューティングゲーム,エレクトロニック・スポーツ（eスポーツ）でFPS競技が最初に行われたのは1993年12月10日のことで、『DOOM』が「マルチプレーヤー・デスマッチ・ゲーム」方式で行われた。1997年には、Cyberathlete Professional League（CPL）で、FPSとして初めて『Quake』（TCP/IPに対応したマルチプレイのゲームの元祖）の競技が行われた。その後、『Quakeシリーズ』や『カウンターストライクシリーズ』、『コール オブ デューティシリーズ』などの多くのFPSがeスポーツの競技種目となった。また、eスポーツで使用される機種および入力装置は作品によって異なる[注釈 3]。2016年には、家庭用ゲーム機のXbox Oneで発売された『Halo 5: Guardians』の選手権において、賞金総額が250万USドルに達した[74]。
ファーストパーソン・シューティングゲーム,国内ではレッドブルがeスポーツの大会としてRed Bull 5Gを開催している。FPSの競技タイトルとして『バトルフィールド3』が使用された。また、CyACが『カウンターストライク』や『コール オブ デューティシリーズ』、『Warsow』などのオンライン大会やオフライン大会を定期的に開催している。
ファーストパーソン・シューティングゲーム,FPSゲームは、基本的に基幹部となる「ゲームエンジン（以下「エンジン」）」を最初に構築してから製作される。前述したようにFPSやサードパーソン・シューティングゲームはリアルな表現や派手なエフェクトの表現を数倍必要としたジャンルであり、ゲームエンジンのデモ作品としては切っても切れない縁となっている。
ファーストパーソン・シューティングゲーム,製作の際、リリースするOSの開発元や、グラフィックボードの開発会社、ゲーム機の販売元等と技術提携して開発を進める場合が多い。最初の例は3dfx社からの技術提携を受けた『Quake』とされており、『Farcry』は元々NVIDIA社のプレゼンテーションとして製作されていたが、完成度が高いためにそのままゲーム化されたり、『Half-Life2』はそれ自体がATI社の技術デモと言われるなど、特にグラフィックボードメーカーとは密接な関係がある。
ファーストパーソン・シューティングゲーム,ゲームエンジンは「DOOMエンジン」「Quakeエンジン（公式ではあるが愛称。正式名称は「id TECH」エンジン）」「Unrealエンジン」など、最初にそのエンジンを利用して作られたゲームから名前をとられることが多く、新作が公開されてエンジンそのものがバージョンアップすると「Quake3エンジン」、「Unreal Engine3」などナンバリングが変更される場合がある。また、例外もあり『Half-Life』に用いられたエンジンはGoldsource（これは初代Quakeエンジンを大幅に改造した物であり、日本では主にHalf-Life Engineと呼ばれる）、その後継品であるSource Engineや、Lithtech Engineなど、最初期リリースのゲームソフトとはまったく無関係の名称を与えられているケースもある。『コール オブ デューティシリーズ』のように『Return to Castle:Wolfenstein』のエンジンを元にしているが、別にエンジンに名前を付けていないメーカーも存在する（『RtCW』がQ3エンジン改のため、『CoD4』のエンジンもSourceエンジン同様Quake系エンジンではある）。
ファーストパーソン・シューティングゲーム,最近ではそれらゲームエンジンシステムを用いて作られた作品は「○○エンジン使用」と宣伝するのが通常であり、どのゲームエンジンを用いてそのソフトが製作されたのかという事は、そのゲームのデザインやシステムと同等の注目度となっている。しかし、たとえどのようなゲームエンジンを使っていようが、結局はその作品が真に楽しめるものでなければ売り上げに直結する要素とはなりえない。実際「有名エンジン使用!」と宣伝したが本数が出なかったソフトは多数存在する。
ファーストパーソン・シューティングゲーム,ゲームエンジンは「映像処理」「音声処理」「データ管理」「入力・出力方法」「物理処理」「ネットワーク処理」「AI」といったゲーム製作に必要な骨組みが整備された一種のミドルウェアである。ゲームエンジンはそのエンジンの規則にしたがって作られたプログラム（スクリプト）や3Dモデル、グラフィック、音声といったデータを読み込み、ゲームとして動作させる。当然ながらエンジンの種類によって映像処理法やデータの管理方法、その他の機能には違いがある。同じグラフィックデータや音声データを用いてゲームを製作しても、エンジンによって見た目は大きく変わる。また、人間の表情を高度に表現できるエンジン、大量のオブジェクトの表示に特化したエンジンなど、それぞれに特色がある。
ファーストパーソン・シューティングゲーム,こうしたエンジンを利用すれば、ゲーム基幹部の開発にかける開発費や時間・労力を節約できる。このため、エンジン開発を行ったゲームの続編や拡張パックの製作に利用されたり、他社がエンジン利用のライセンスを購入して元のゲームとはまったく関係のないゲームを開発・販売する事がある。続編や拡張パックの開発であれば、ライセンス料すら必要なく（自社の財産であるため）開発費・開発期間を削減できるというメリットがある。エンジンのライセンスを購入するゲームソフト会社にしてみても、ライセンスの取得に初期投資は若干かかるものの、プログラムを一から作るよりは数段低い開発リスクでゲーム製作ができるというメリットがある。ただ、近年ではこのエンジン自体の開発が遅れたり、エンジン自体に問題がある、契約内容に問題があるなどで、訴訟問題に発展することもある。
ファーストパーソン・シューティングゲーム,最近では、エンジンの販売を重要な目的と位置づけ、ゲーム自体の販売による利益はもちろんだが、エンジンの性能をアピールするための広告塔としてゲームを開発し発売する、といった方法を取る企業が増えている。パソコンや家庭用ゲーム機間の移植性の高さ（クロスプラットフォームと言う）をアピールするエンジンも多く、実際、パソコン版として発売されたタイトルが家庭用ゲーム機に移植されたり（その逆のパターンもある）、多機種で同時発売されることも多い。
ファーストパーソン・シューティングゲーム,ヒットスキャン（Hitscan）方式は、弾丸が一瞬で目的地に到達する仕組みである。初心者向けのカジュアルなFPSで使用される傾向がある[75]。プロジェクタイル方式は、発射体（Projectile）を新しい物理オブジェクトとして生成する。風圧や摩擦、重力、温度などを計算することが可能で、手榴弾やロケット弾といった武器が登場するようになった[75]。2020年時点では、ほとんどのゲームエンジンで両方の方式が取り入れられている[75]。
ファーストパーソン・シューティングゲーム,こうしたエンジンは本来FPS用に製作されたものだが、サードパーソン・シューティングゲームをはじめ、パズルゲームやフライトシミュレーター、ロールプレイング、リアルタイムストラテジー、レースゲームなど、知識と応用しだいでジャンルに関係なく様々なゲームを製作することができる。エンジン利用のメリットがあるかは別として、2Dゲームを作ることも可能であるし、極論を言えば（そのエンジンが高機能ならば）ゲームとはまったく無関係のワープロソフト等を作ることも可能である。
ファーストパーソン・シューティングゲーム,場合によってはエンジンの内容を一部書き換えてバージョンアップしたり、オリジナルのコードを書き加えて改造する事もある。こうしたエンジンのソースコードは、機能ごとに高度に分離されていることが多く、グラフィック部分のみを強化したり、ネットワークコードのみを製作中のゲームに最適化したり、ということが容易にできるようになっている。
ファーストパーソン・シューティングゲーム,また、あまり3DCGに関する知識を有していなくても、比較的簡単に3DCGを使ったコンテンツを製作することが出来る点から、これらエンジンはコンピューターソフトウェアに限らない用途にも利用されている。具体例としては、ゲームの素材を利用してCG映画を作るマシニマ（Machinima）などが挙げられる。海外では大学の卒業研究の題材としてFPSのエンジンを用いた映像製作やゲーム製作に取り組んだ例もある。
ファーストパーソン・シューティングゲーム,マシニマにおける特に有名な作品例として、海外の『レッドvsブルー』（Red vs.Blue）というものがある。この作品はマシニマのエンジン（母体）である『ヘイロー・シリーズ』の開発元であるバンジースタジオ公認の存在で、海外ではかなりの知名度を誇る。また、『Halo 2』の特典DVDにおいて彼らの活動記録が収録されており、ゲームを用いたムービー、つまりマシニマの存在がより有名になった理由のひとつと言えるかもしれない。
ファーストパーソン・シューティングゲーム,マシニマに似た物としてフラグムービーと呼ばれる物がある。これは一般スポーツのスーパープレー特集に似た物であり、高難易度のフラグシーンをまとめ、音楽と併せてムービー化する物である。
ファーストパーソン・シューティングゲーム,ゲームエンジンの一部もしくはそのすべての仕様や、開発用のツールキット（SDK）が一般に公開されている場合は、それを利用してModを製作する事ができる。それらを用いれば、開発元の会社とは一切無関係な一般的なゲームユーザーがマップやキャラクター（スキン）を追加したり、ゲームの内容そのものをまるきり変更してしまうこともできる。
ファーストパーソン・シューティングゲーム,特に『Half-Life』（Goldsource）では改造Modが他のタイトルよりも多く出回り、その中でも『Counter-Strike』と呼ばれるModはゲームシステムを根本から改変した物として有名で、各界も含めてModの代名詞的な作品として認知されている。
ファーストパーソン・シューティングゲーム,これらModはユーザーにとってゲーム自体をいじって楽しめるし、開発側にとっては発売後もユーザーの手によって拡張され続けることでゲームの陳腐化の速度が遅くなるというメリットがある。ただし開発側は相応に変更しやすいようシステムを構築しておかねばならず、その手間だけはデメリットの一つと言える。
ファーストパーソン・シューティングゲーム,大会をスムーズに進行させる為に作られたMOD（通称CompMOD）には、半分オフィシャルとなっている物も多くある。例えばid Software主催で行われるQuakeCon 2007内で行われたオフィシャルイベント「Quake Quad Damage Tournament」では『QuakeII』で『OSP』、『QuakeIII:Arena』で『CPMA』、『Quake4』で『Q4MAX』が使われた。
ファーストパーソン・シューティングゲーム,このシステムは、ゲーム製作に興味がある（才能のある）一般ユーザーをゲーム業界に引き入れる、一種の人材育成機能ともなっている。例えば、EPIC GAMES社の社員の3割はMODコミュニティ出身であるという[76]。現在Valve名義で発売されている『Team Fortress Classic』のスタッフは、元々初代『Quake』のMODとして『Team Fortress』を製作した人たちであったが、そのゲーム性にValve社長であるゲイブ・ニューウェルが惚れ込み、Valveにスカウトされたと言う実績もある。同じような事例は卒業研究としてSourceエンジンを使って作られたゲームをリファインし、『Portal』として発売した例もある。また、『Red Orchestra: Ostfront 41-45』を発売しているTripwire Interactive社に至っては、EPIC GAMES主催のUnreal Tournament 2004 MODコンテストで優勝し、賞金とエンジン使用権を得たことをきっかけとして会社が設立されている。
ファーストパーソン・シューティングゲーム,また、製作用のツールが公開されていない場合でも個人の有志が勝手に編集ツールを開発して強制的にModを製作するというケースもある。ただし製品の利用規約によってはゲームシステムの改造（リバースエンジニアリング）を禁止しているケースもある。ただしこれは利用規約上の制約であって、基本的に違法性は無い。
ファーストパーソン・シューティングゲーム,また、そうした「認められていないMod製作」を規約上は禁止していても、摘発や警告には無駄な労力が伴うし、上記のように法的拘束力はあまり望めず、また「器の小さな企業」などというイメージ定着等の要素から、ほとんどは黙認状態になっている。[要出典]
ファーストパーソン・シューティングゲーム,ほとんどが欧米製だが、『コーデッドアームズ』など純日本製の作品が一部にある。また、日本製の場合FPSに近い視点の物はロボットアクションゲームに多い。
ファーストパーソン・シューティングゲーム,以下は日本製FPSまたは、FPSに近い視点の日本製ゲーム。
