都道府県,説明
徳島県,徳島県（とくしまけん）は、日本の四国地方に位置する県。県庁所在地は徳島市。
香川県,香川県（かがわけん）は、日本の四国地方に位置する県。県庁所在地は高松市。
愛媛県,愛媛県（えひめけん、旧字体: 愛媛󠄁縣）は、日本の四国地方に位置する県。四国地方では最も人口が多い県。県庁所在地は中核市指定の松山市。都市の規模は、いずれも計量特定市指定の今治市・新居浜市の両市が続く。令制国の伊予国に当たる。
高知県,高知県（こうちけん）は、日本の四国地方に位置する県。県庁所在地は高知市。
福岡県,福岡県（ふくおかけん）は、日本の九州地方に位置する県。県庁所在地は福岡市[1]。
佐賀県,佐賀県（さがけん）は、日本の九州地方に位置する県。県庁所在地は佐賀市。
長崎県,長崎県（ながさきけん）は、日本の九州地方に位置する県。県庁所在地は長崎市。
熊本県,熊本県（くまもとけん）は、日本の九州地方に位置する県。県庁所在地は熊本市。
大分県,大分県（おおいたけん）は、日本の九州地方に位置する県。県庁所在地は大分市。
宮崎県,宮崎県（みやざきけん）は、日本の九州地方に位置する県。県庁所在地は宮崎市。
鹿児島県,鹿児島県（かごしまけん）は、日本の九州地方に位置する県。県庁所在地は鹿児島市。
沖縄県,沖縄県（おきなわけん、旧字体: 沖繩縣、英語: Okinawa Prefecture）は、日本の九州・沖縄地方に位置する県。県庁所在地は那覇市。旧琉球国。
